resolvedchromer,gametophytic,sporophytic,species,genus,haploid1,haploid2
Abacopteris_lineata,,144,Abacopteris lineata (Blume) Ching,Abacopteris,NA,72
Abacopteris_lineata,,144,Abacopteris lineata (Blume) Ching,Abacopteris,NA,72
Abacopteris_lineata,72,,Abacopteris lineata (Blume) Ching,Abacopteris,72,NA
Abacopteris_rubicunda,36,,Abacopteris rubicunda Holttum,Abacopteris,36,NA
Abacopteris_salicifolia,36,,Abacopteris salicifolia Holttum,Abacopteris,36,NA
Abacopteris_triphylla,36,72,,Abacopteris,36,36
Abacopteris_triphylla,,108,Abacopteris triphylla (Sw.) Ching,Abacopteris,NA,54
Abacopteris_triphylla,72,,Abacopteris triphylla (Sw.) Ching,Abacopteris,72,NA
Abacopteris_triphylla,72,,Abacopteris triphylla (Sw.) Ching,Abacopteris,72,NA
Abacopteris_urophylla,36,,Abacopteris urophylla Ching,Abacopteris,36,NA
Abrodictyum_boninense,,72,Abrodictyum boninense Tagawa & K. Iwats.,Abrodictyum,NA,36
Abrodictyum_boninense,36,,Abrodictyum boninense Tagawa & K. Iwats.,Abrodictyum,36,NA
Abrodictyum_cupressoides,,66,Abrodictyum cupressoides (Desv.) Ebihara & Duboisson,Abrodictyum,NA,33
Abrodictyum_meifolium,,66,Abrodictyum meifolium (Bory) Ebihara & K. Iwats.,Abrodictyum,NA,33
Abrodictyum_meifolium,33,,Abrodictyum meifolium (Bory) Ebihara & K. Iwats.,Abrodictyum,33,NA
Abrodictyum_meifolium,33,,Abrodictyum meifolium (Bory) Ebihara & K. Iwats.,Abrodictyum,33,NA
Abrodictyum_obscurum,,66,Abrodictyum obscurum (Blume) Ebihara & K. Iwats.,Abrodictyum,NA,33
Abrodictyum_rigidum,,66,Abrodictyum rigidum (Sw.) Ebihara & Dubuisson,Abrodictyum,NA,33
Abrodictyum_rigidum,33,,Abrodictyum rigidum (Sw.) Ebihara & Dubuisson,Abrodictyum,33,NA
Abrodictyum_rigidum,33,,Abrodictyum rigidum (Sw.) Ebihara & Dubuisson,Abrodictyum,33,NA
Abrodictyum_rigidum,66,,Abrodictyum rigidum (Sw.) Ebihara & Dubuisson,Abrodictyum,66,NA
Abrodictyum_rigidum,66,,Abrodictyum rigidum (Sw.) Ebihara & Dubuisson,Abrodictyum,66,NA
Acrophorus_stipellatus,41,82,,Acrophorus,41,41
Acrophorus_stipellatus,41,,Acrophorus stipellatus T. Moore,Acrophorus,41,NA
Acrophorus_stipellatus,41,,Acrophorus stipellatus T. Moore,Acrophorus,41,NA
Acrophorus_stipellatus,41,,Acrophorus stipellatus T. Moore,Acrophorus,41,NA
Acrorumohra_diffracta,82,,Acrorumohra diffracta (Baker) H. It͉,Acrorumohra,82,NA
Acrorumohra_hasselt,,82,Acrorumohra hasselt (Blume) Ching,Acrorumohra,NA,41
Acrorumohra_hasselt,41,,Acrorumohra hasselt (Blume) Ching,Acrorumohra,41,NA
Acrorumohra_hasselt,41,,Acrorumohra hasselt (Blume) Ching,Acrorumohra,41,NA
Acrorumohra_hasselt,41,,Acrorumohra hasselt (Blume) Ching,Acrorumohra,41,NA
Acrorumohra_obtusissima,,82,Acrorumohra obtusissima (Mett.) Ching,Acrorumohra,NA,41
Acrostichum_album,,60,Acrostichum album Vell.,Acrostichum,NA,30
Acrostichum_apfolium,,82,Acrostichum apfolium (J. Sm.) Hook.,Acrostichum,NA,41
Acrostichum_aureum,30,60,Acrostichum aureum L.,Acrostichum,30,30
Acrostichum_aureum,30,60,Acrostichum aureum L.,Acrostichum,30,30
Acrostichum_aureum,30,60,Acrostichum aureum L.,Acrostichum,30,30
Acrostichum_aureum,,60,Acrostichum aureum L.,Acrostichum,NA,30
Acrostichum_aureum,,60,Acrostichum aureum L.,Acrostichum,NA,30
Acrostichum_aureum,,60,Acrostichum aureum L.,Acrostichum,NA,30
Acrostichum_aureum,,60,Acrostichum aureum L.,Acrostichum,NA,30
Acrostichum_aureum,,60,Acrostichum aureum L.,Acrostichum,NA,30
Acrostichum_aureum,120,60,Acrostichum aureum L.,Acrostichum,120,30
Acrostichum_aureum,30,60,Acrostichum aureum L.,Acrostichum,30,30
Acrostichum_aureum,,120,Acrostichum aureum L.,Acrostichum,NA,60
Acrostichum_aureum,30,,Acrostichum aureum L.,Acrostichum,30,NA
Acrostichum_contractum,,300,Acrostichum contractum Wall.,Acrostichum,NA,150
Acrostichum_costatum,,114,Acrostichum costatum Wall.,Acrostichum,NA,57
Acrostichum_costatum,,114,Acrostichum costatum Wall.,Acrostichum,NA,57
Acrostichum_costatum,,114,Acrostichum costatum Wall.,Acrostichum,NA,57
Acrostichum_costatum,,116,Acrostichum costatum Wall.,Acrostichum,NA,58
Acrostichum_costatum,,116,Acrostichum costatum Wall.,Acrostichum,NA,58
Acrostichum_costatum,,120,Acrostichum costatum Wall.,Acrostichum,NA,60
Acrostichum_costatum,,120,Acrostichum costatum Wall.,Acrostichum,NA,60
Acrostichum_costatum,,120,Acrostichum costatum Wall.,Acrostichum,NA,60
Acrostichum_costatum,,120,Acrostichum costatum Wall.,Acrostichum,NA,60
Acrostichum_daeifolium,,60,Acrostichum daeifolium Langsd. & Fisch.,Acrostichum,NA,30
Acrostichum_daeifolium,30,60,Acrostichum daeifolium Langsd. & Fisch.,Acrostichum,30,30
Acrostichum_daeifolium,30,60,Acrostichum daeifolium Langsd. & Fisch.,Acrostichum,30,30
Acrostichum_daeifolium,30,60,Acrostichum daeifolium Langsd. & Fisch.,Acrostichum,30,30
Acrostichum_daeifolium,,60,Acrostichum daeifolium Langsd. & Fisch.,Acrostichum,NA,30
Acrostichum_daeifolium,,116,Acrostichum daeifolium Langsd. & Fisch.,Acrostichum,NA,58
Acrostichum_daeifolium,,116,Acrostichum daeifolium Langsd. & Fisch.,Acrostichum,NA,58
Acrostichum_formosum,,116,Acrostichum formosum  Presl,Acrostichum,NA,58
Acrostichum_mannianum,,120,Acrostichum mannianum Mett. ex Kuhn,Acrostichum,NA,60
Acrostichum_mannianum,,120,Acrostichum mannianum Mett. ex Kuhn,Acrostichum,NA,60
Acrostichum_melanolepis,,60,Acrostichum melanolepis F,Acrostichum,NA,30
Acrostichum_nudum,,116,Acrostichum nudum Kunze ex E. Fourn.,Acrostichum,NA,58
Acrostichum_proliferum,,120,Acrostichum proliferum Blume,Acrostichum,NA,60
Acrostichum_rubescens,,360,Acrostichum rubescens K. A. Christ,Acrostichum,NA,180
Acrostichum_speciosum,60,,Acrostichum speciosum Willd.,Acrostichum,60,NA
Acrostichum_speciosum,58,,Acrostichum speciosum Willd.,Acrostichum,58,NA
Acrostichum_wilkesianum,,60,Acrostichum wilkesianum Hook.,Acrostichum,NA,30
Actiniopteris_radiata,,58,Actiniopteris radiata (Sw.) Link,Actiniopteris,NA,29
Actiniopteris_radiata,,87,Actiniopteris radiata (Sw.) Link,Actiniopteris,NA,43
Actiniopteris_radiata,,87,Actiniopteris radiata (Sw.) Link,Actiniopteris,NA,43
Actiniopteris_radiata,,87,Actiniopteris radiata (Sw.) Link,Actiniopteris,NA,43
Actiniopteris_radiata,87,,Actiniopteris radiata (Sw.) Link,Actiniopteris,87,NA
Actiniopteris_radiata,87,,Actiniopteris radiata (Sw.) Link,Actiniopteris,87,NA
Actiniopteris_radiata,87,,Actiniopteris radiata (Sw.) Link,Actiniopteris,87,NA
Actiniopteris_radiata,87,,Actiniopteris radiata (Sw.) Link,Actiniopteris,87,NA
Actiniopteris_radiata,87,,Actiniopteris radiata (Sw.) Link,Actiniopteris,87,NA
Actinostachys_digitata,,650,Actinostachys digitata (L.) Wall.,Actinostachys,NA,325
Actinostachys_digitata,,720,Actinostachys digitata (L.) Wall.,Actinostachys,NA,360
Actinostachys_pennula,,168,Actinostachys pennula (Sw.) Hook.,Actinostachys,NA,84
Actinostachys_pennula,134,,Actinostachys pennula (Sw.) Hook.,Actinostachys,134,NA
Acystopteris_japonica,,84,Acystopteris japonica (Luerss.) kai,Acystopteris,NA,42
Acystopteris_japonica,,84,Acystopteris japonica (Luerss.) kai,Acystopteris,NA,42
Acystopteris_japonica,,84,Acystopteris japonica (Luerss.) kai,Acystopteris,NA,42
Acystopteris_japonica,,84,Acystopteris japonica (Luerss.) kai,Acystopteris,NA,42
Acystopteris_japonica,,168,Acystopteris japonica (Luerss.) kai,Acystopteris,NA,84
Acystopteris_japonica,42,,Acystopteris japonica (Luerss.) kai,Acystopteris,42,NA
Acystopteris_japonica,84,,Acystopteris japonica (Luerss.) kai,Acystopteris,84,NA
Acystopteris_japonica,42,,Acystopteris japonica (Luerss.) kai,Acystopteris,42,NA
Acystopteris_taiwania,,82,Acystopteris taiwania (Tagawa) ́. L�_ve & D. L�_ve,Acystopteris,NA,41
Acystopteris_taiwania,,168,Acystopteris taiwania (Tagawa) ́. L�_ve & D. L�_ve,Acystopteris,NA,84
Acystopteris_taiwania,42,,Acystopteris taiwania (Tagawa) ́. L�_ve & D. L�_ve,Acystopteris,42,NA
Acystopteris_taiwania,84,,Acystopteris taiwania (Tagawa) ́. L�_ve & D. L�_ve,Acystopteris,84,NA
Acystopteris_tenuisecta,42,42,,Acystopteris,42,21
Acystopteris_tenuisecta,,82,Acystopteris tenuisecta (Blume) Tagawa,Acystopteris,NA,41
Acystopteris_tenuisecta,,84,Acystopteris tenuisecta (Blume) Tagawa,Acystopteris,NA,42
Acystopteris_tenuisecta,84,126,Acystopteris tenuisecta (Blume) Tagawa,Acystopteris,84,63
Acystopteris_tenuisecta,,168,Acystopteris tenuisecta (Blume) Tagawa,Acystopteris,NA,84
Acystopteris_tenuisecta,,168,Acystopteris tenuisecta (Blume) Tagawa,Acystopteris,NA,84
Acystopteris_tenuisecta,,168,Acystopteris tenuisecta (Blume) Tagawa,Acystopteris,NA,84
Adenophorus_haalilioanus,,74,Adenophorus haalilioanus K. Wilson,Adenophorus,NA,37
Adenophorus_hymenophylloides,,74,Adenophorus hymenophylloides Hook. & Grev.,Adenophorus,NA,37
Adenophorus_tripintifidus,,74,Adenophorus tripintifidus Gaudich.,Adenophorus,NA,37
Adiantopsis_chlorophylla,30,,Adiantopsis chlorophylla (Sw.) Fͩe,Adiantopsis,30,NA
Adiantopsis_radiata,,60,Adiantopsis radiata (L.) Fͩe,Adiantopsis,NA,30
Adiantopsis_radiata,,60,Adiantopsis radiata (L.) Fͩe,Adiantopsis,NA,30
Adiantopsis_radiata,30,,Adiantopsis radiata (L.) Fͩe,Adiantopsis,30,NA
Adiantum_aleuticum,,58,Adiantum aleuticum (Rupr.)  A. Paris,Adiantum,NA,29
Adiantum_aleuticum,,58,Adiantum aleuticum (Rupr.)  A. Paris,Adiantum,NA,29
Adiantum_aleuticum,29,,Adiantum aleuticum (Rupr.)  A. Paris,Adiantum,29,NA
Adiantum_aleuticum,29,,Adiantum aleuticum (Rupr.)  A. Paris,Adiantum,29,NA
Adiantum_aleuticum,29,,Adiantum aleuticum (Rupr.)  A. Paris,Adiantum,29,NA
Adiantum_aneitense,,116,Adiantum aneitense Carruth.,Adiantum,NA,58
Adiantum_atroviride,57,,Adiantum atroviride Bostock,Adiantum,57,NA
Adiantum_atroviride,57,,Adiantum atroviride Bostock,Adiantum,57,NA
Adiantum_botianum,,170,Adiantum botianum Brause,Adiantum,NA,85
Adiantum_braun,30,,Adiantum braun Mett. ex Kuhn,Adiantum,30,NA
